,Ag_0,Ag_1,Ag_2,Ag_3,Ag_4,Ag_5,Ag_6,Ag_7,Ag_8,Ag_9,Ag_10,Ag_11,Ag_12,Ag_13,Ag_14,Ag_15,Ag_16,Ag_17,Ag_18,Ag_19,Ag_20,Ag_21,Ag_22,Ag_23,Ag_24,Ag_25,Ag_26,Ag_27,Ag_28,Ag_29,Ag_30,Ag_31,Ag_32,Ag_33,Ag_34,Ag_35,Ag_36,Ag_37,Ag_38,Ag_39,Ag_40,Ag_41,Ag_42,Ag_43,Ag_44,Ag_45,Ag_46,Ag_47,Ag_48,Ag_49,Ag_50,Ag_51,Ag_52,Ag_53,Ag_54,Ag_55,Ag_56,Ag_57,Ag_58,Ag_59,User_Reference_Seq
Ag_0,1.0,0.023255813953488372,0.023255813953488372,0.02631578947368421,0.02586206896551724,0.029411764705882353,0.008860759493670886,0.017948717948717947,0.021052631578947368,0.005905511811023622,0.031578947368421054,0.00686106346483705,0.0051635111876075735,0.005766062602965404,0.0033112582781456954,0.006611570247933884,0.020833333333333332,0.021739130434782608,0.02127659574468085,0.01910828025477707,0.03125,0.02631578947368421,0.006756756756756757,0.0062056737588652485,0.007067137809187279,0.0065252854812398045,0.023255813953488372,0.01674641148325359,0.00902061855670103,0.006194690265486726,0.005291005291005291,0.02586206896551724,0.025210084033613446,0.02586206896551724,0.018134715025906734,0.02654867256637168,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.010344827586206896,0.008746355685131196,0.005780346820809248,0.008797653958944282,0.00872093023255814,0.012448132780082987,0.008645533141210375,0.00872093023255814,0.024390243902439025,0.03608247422680412,0.031578947368421054,0.003946329913180742,0.031578947368421054,0.02654867256637168,0.006183745583038869
Ag_1,0.023255813953488372,1.0,0.9883720930232558,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.008860759493670886,0.015384615384615385,0.023255813953488372,0.007874015748031496,0.023255813953488372,0.00686106346483705,0.0068846815834767644,0.006589785831960461,0.004257332071901609,0.006611570247933884,0.020833333333333332,0.021739130434782608,0.02127659574468085,0.01910828025477707,0.023255813953488372,0.023255813953488372,0.006756756756756757,0.0070921985815602835,0.007067137809187279,0.004893964110929853,0.9651162790697675,0.014354066985645933,0.010309278350515464,0.006194690265486726,0.007936507936507936,0.023255813953488372,0.031007751937984496,0.031007751937984496,0.015544041450777202,0.023255813953488372,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.01206896551724138,0.008746355685131196,0.008670520231213872,0.008797653958944282,0.00872093023255814,0.012448132780082987,0.008645533141210375,0.00872093023255814,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.003946329913180742,0.023255813953488372,0.023255813953488372,0.006183745583038869
Ag_2,0.023255813953488372,0.9883720930232558,1.0,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.008860759493670886,0.015384615384615385,0.023255813953488372,0.007874015748031496,0.023255813953488372,0.00686106346483705,0.0068846815834767644,0.006589785831960461,0.004257332071901609,0.006611570247933884,0.020833333333333332,0.021739130434782608,0.02127659574468085,0.01910828025477707,0.023255813953488372,0.023255813953488372,0.006756756756756757,0.0070921985815602835,0.007067137809187279,0.004893964110929853,0.9534883720930233,0.014354066985645933,0.010309278350515464,0.006194690265486726,0.007936507936507936,0.023255813953488372,0.031007751937984496,0.031007751937984496,0.015544041450777202,0.023255813953488372,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.01206896551724138,0.008746355685131196,0.008670520231213872,0.008797653958944282,0.00872093023255814,0.012448132780082987,0.008645533141210375,0.00872093023255814,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.003946329913180742,0.023255813953488372,0.023255813953488372,0.006183745583038869
Ag_3,0.02631578947368421,0.023255813953488372,0.023255813953488372,1.0,0.9827586206896551,0.02631578947368421,0.012658227848101266,0.017948717948717947,0.021929824561403508,0.007874015748031496,0.02631578947368421,0.00686106346483705,0.00774526678141136,0.006589785831960461,0.004257332071901609,0.006611570247933884,0.026041666666666668,0.02717391304347826,0.026595744680851064,0.022292993630573247,0.03070175438596491,0.017543859649122806,0.006756756756756757,0.0070921985815602835,0.007950530035335688,0.0065252854812398045,0.023255813953488372,0.01674641148325359,0.010309278350515464,0.006194690265486726,0.007054673721340388,0.03017241379310345,0.029411764705882353,0.03017241379310345,0.018134715025906734,0.03508771929824561,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.010344827586206896,0.01020408163265306,0.005780346820809248,0.010263929618768328,0.010174418604651164,0.012448132780082987,0.010086455331412104,0.010174418604651164,0.032520325203252036,0.03508771929824561,0.02631578947368421,0.004340962904498816,0.02631578947368421,0.03508771929824561,0.006183745583038869
Ag_4,0.02586206896551724,0.023255813953488372,0.023255813953488372,0.9827586206896551,1.0,0.02586206896551724,0.012658227848101266,0.017948717948717947,0.021551724137931036,0.007874015748031496,0.02586206896551724,0.00686106346483705,0.00774526678141136,0.006589785831960461,0.004257332071901609,0.006611570247933884,0.026041666666666668,0.02717391304347826,0.026595744680851064,0.022292993630573247,0.03017241379310345,0.017241379310344827,0.006756756756756757,0.0070921985815602835,0.007950530035335688,0.0065252854812398045,0.023255813953488372,0.01674641148325359,0.010309278350515464,0.006194690265486726,0.007054673721340388,0.03017241379310345,0.029411764705882353,0.03017241379310345,0.018134715025906734,0.034482758620689655,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.010344827586206896,0.01020408163265306,0.005780346820809248,0.010263929618768328,0.010174418604651164,0.012448132780082987,0.010086455331412104,0.010174418604651164,0.032520325203252036,0.034482758620689655,0.02586206896551724,0.004340962904498816,0.02586206896551724,0.034482758620689655,0.006183745583038869
Ag_5,0.029411764705882353,0.023255813953488372,0.023255813953488372,0.02631578947368421,0.02586206896551724,1.0,0.2582278481012658,0.010256410256410256,0.029411764705882353,0.006889763779527559,0.9215686274509803,0.00686106346483705,0.0068846815834767644,0.006589785831960461,0.003784295175023652,0.006611570247933884,0.015625,0.016304347826086956,0.015957446808510637,0.01910828025477707,0.026785714285714284,0.024509803921568627,0.005791505791505791,0.0070921985815602835,0.007067137809187279,0.005709624796084829,0.023255813953488372,0.014354066985645933,0.014175257731958763,0.007964601769911504,0.005291005291005291,0.02586206896551724,0.02100840336134454,0.021551724137931036,0.010362694300518135,0.02654867256637168,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.013793103448275862,0.011661807580174927,0.005780346820809248,0.011730205278592375,0.011627906976744186,0.014522821576763486,0.011527377521613832,0.011627906976744186,0.024390243902439025,0.04411764705882353,0.9313725490196079,0.0027624309392265192,0.9313725490196079,0.02654867256637168,0.00530035335689046
Ag_6,0.008860759493670886,0.008860759493670886,0.008860759493670886,0.012658227848101266,0.012658227848101266,0.2582278481012658,1.0,0.010126582278481013,0.007594936708860759,0.00984251968503937,0.2379746835443038,0.00686106346483705,0.0068846815834767644,0.006589785831960461,0.004257332071901609,0.006611570247933884,0.01139240506329114,0.01139240506329114,0.01139240506329114,0.010126582278481013,0.008860759493670886,0.006329113924050633,0.008687258687258687,0.0070921985815602835,0.007067137809187279,0.0065252854812398045,0.008860759493670886,0.010126582278481013,0.013924050632911392,0.007964601769911504,0.007054673721340388,0.008860759493670886,0.010126582278481013,0.010126582278481013,0.010126582278481013,0.010126582278481013,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.0035074045206547155,0.010126582278481013,0.010126582278481013,0.007707129094412331,0.010126582278481013,0.010126582278481013,0.008860759493670886,0.010126582278481013,0.010126582278481013,0.010126582278481013,0.01139240506329114,0.24050632911392406,0.0031570639305445935,0.24050632911392406,0.010126582278481013,0.007067137809187279
Ag_7,0.017948717948717947,0.015384615384615385,0.015384615384615385,0.017948717948717947,0.017948717948717947,0.010256410256410256,0.010126582278481013,1.0,0.015384615384615385,0.006889763779527559,0.010256410256410256,0.00686106346483705,0.0068846815834767644,0.006589785831960461,0.003784295175023652,0.006611570247933884,0.020512820512820513,0.020512820512820513,0.020512820512820513,0.020512820512820513,0.017948717948717947,0.015384615384615385,0.009652509652509652,0.0070921985815602835,0.007067137809187279,0.005709624796084829,0.015384615384615385,0.9282296650717703,0.011597938144329897,0.007079646017699115,0.007054673721340388,0.015384615384615385,0.017948717948717947,0.017948717948717947,0.9897435897435898,0.015384615384615385,0.1500389711613406,0.15120810600155885,0.1500389711613406,0.1500389711613406,0.14886983632112236,0.1500389711613406,0.14886983632112236,0.14770070148090414,0.14770070148090414,0.14770070148090414,0.013793103448275862,0.01020408163265306,0.007707129094412331,0.010263929618768328,0.010174418604651164,0.014522821576763486,0.010086455331412104,0.010174418604651164,0.015384615384615385,0.015384615384615385,0.010256410256410256,0.003551696921862668,0.010256410256410256,0.015384615384615385,0.007950530035335688
Ag_8,0.021052631578947368,0.023255813953488372,0.023255813953488372,0.021929824561403508,0.021551724137931036,0.029411764705882353,0.007594936708860759,0.015384615384615385,1.0,0.007874015748031496,0.031914893617021274,0.005145797598627788,0.0051635111876075735,0.004942339373970346,0.0033112582781456954,0.0049586776859504135,0.018229166666666668,0.019021739130434784,0.018617021276595744,0.01592356687898089,0.03125,0.04411764705882353,0.007722007722007722,0.005319148936170213,0.007950530035335688,0.005709624796084829,0.023255813953488372,0.014354066985645933,0.00902061855670103,0.007079646017699115,0.006172839506172839,0.02586206896551724,0.037815126050420166,0.03879310344827586,0.015544041450777202,0.02654867256637168,0.003117692907248636,0.003117692907248636,0.003117692907248636,0.003117692907248636,0.003117692907248636,0.003117692907248636,0.003117692907248636,0.003117692907248636,0.003117692907248636,0.003117692907248636,0.010344827586206896,0.008746355685131196,0.00674373795761079,0.008797653958944282,0.00872093023255814,0.01037344398340249,0.008645533141210375,0.00872093023255814,0.024390243902439025,0.02577319587628866,0.031578947368421054,0.0031570639305445935,0.031578947368421054,0.02654867256637168,0.0088339222614841
Ag_9,0.005905511811023622,0.007874015748031496,0.007874015748031496,0.007874015748031496,0.007874015748031496,0.006889763779527559,0.00984251968503937,0.006889763779527559,0.007874015748031496,1.0,0.006889763779527559,0.007718696397941681,0.00774526678141136,0.007413509060955519,0.008514664143803218,0.00743801652892562,0.007874015748031496,0.007874015748031496,0.007874015748031496,0.006889763779527559,0.008858267716535433,0.005905511811023622,0.015444015444015444,0.007978723404255319,0.007950530035335688,0.008156606851549755,0.007874015748031496,0.006889763779527559,0.007874015748031496,0.007964601769911504,0.007054673721340388,0.007874015748031496,0.007874015748031496,0.007874015748031496,0.006889763779527559,0.007874015748031496,0.021044427123928292,0.021044427123928292,0.021044427123928292,0.021044427123928292,0.021044427123928292,0.021044427123928292,0.021044427123928292,0.021044427123928292,0.021044427123928292,0.021044427123928292,0.00984251968503937,0.00984251968503937,0.015414258188824663,0.00984251968503937,0.00984251968503937,0.006889763779527559,0.00984251968503937,0.00984251968503937,0.007874015748031496,0.007874015748031496,0.006889763779527559,0.004340962904498816,0.006889763779527559,0.007874015748031496,0.007950530035335688
